event,timestamp_ns
pattern_start,1758539926751496400
fixation_start,1758539927077643100
fixation_end,1758539929078920000
fixation_start,1758539929399834700
fixation_end,1758539931401117100
fixation_start,1758539931722719200
fixation_end,1758539933723571400
fixation_start,1758539934046298500
fixation_end,1758539936047832000
fixation_start,1758539936373865800
fixation_end,1758539938375595700
fixation_start,1758539938702901100
fixation_end,1758539940704470900
fixation_start,1758539941028850200
fixation_end,1758539943030940700
fixation_start,1758539943354408000
fixation_end,1758539945355832500
fixation_start,1758539945684229100
fixation_end,1758539947685775600
fixation_start,1758539948010549200
fixation_end,1758539950012193000
pattern_end,1758539952013005900
